position,slug,name,metadata,intro,below_tool_content,faqs,relatedSlugs,safety,duplicate_slugs_check,broken_relatedSlugs_check,rendered_index_follow,canonical_check,noindexToolSlugs_unchanged,remaining_issues
1,email-name-generator,Email Address Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,email-signature-generator|email-subject-generator|username-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
2,email-signature-generator,Email Signature Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,email-name-generator|email-subject-generator|business-card-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
3,email-subject-generator,Email Subject Line Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,follow-up-email-generator|sales-email-generator|headline-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
4,error-message-generator,Error Message Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,css-code-generator|html-code-generator|mock-api-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
5,essay-title-generator,Essay Title Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,essay-topic-generator|thesis-statement-generator|citation-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
6,essay-topic-generator,Essay Topic Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,essay-title-generator|thesis-statement-generator|research-question-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
7,fairy-name-generator,Fairy Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,fantasy-name-generator|elf-name-generator|flower-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
8,faq-generator,FAQ Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,schema-tag-generator|landing-page-copy-generator|blog-outline-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
9,flashcard-generator,Flashcard Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,study-plan-generator|quiz-generator|lesson-plan-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
10,flexbox-generator,CSS Flexbox Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,css-code-generator|css-button-generator|border-radius-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
11,flower-name-generator,Flower Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,plant-name-generator|fairy-name-generator|color-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
12,follow-up-email-generator,Follow-Up Email Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,email-subject-generator|sales-email-generator|meeting-agenda-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
13,font-pairing-generator,Font Pairing Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,color-palette-generator|gradient-generator|logo-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
14,food-truck-name-generator,Food Truck Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,restaurant-name-generator|diner-name-generator|business-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
15,footnote-generator,Footnote Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,citation-generator|bibliography-generator|essay-topic-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
16,form-generator,HTML Form Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,html-code-generator|css-code-generator|json-schema-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
17,game-idea-generator,Game Idea Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,story-plot-generator|random-question-generator|dnd-character-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
18,gibberish-generator,Gibberish Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,random-text-generator|fantasy-language-generator|lorem-ipsum-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
19,giveaway-generator,Giveaway Winner Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,random-number-generator|coin-flip|wheel-spinner-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
20,goblin-name-generator,Goblin Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,orc-name-generator|dungeon-name-generator|fantasy-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
21,gradient-generator,CSS Gradient Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,color-palette-generator|hex-color-generator|css-code-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
22,graffiti-text-generator,Graffiti Text Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,fancy-text-generator|big-text-generator|retro-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
23,graphql-query-generator,GraphQL Query Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,json-schema-generator|mock-api-generator|typescript-type-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
24,guild-name-generator,Guild Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,clan-name-generator|team-name-generator|fantasy-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
25,hash-generator,Hash Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,uuid-generator|password-generator|text-to-binary-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
26,headline-generator,Headline Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,seo-title-generator|meta-description-generator|viral-hook-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
27,hex-color-generator,Hex Color Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,color-palette-generator|gradient-generator|rgb-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
28,horse-name-generator,Horse Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,racehorse-name-generator|pet-name-generator|farm-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
29,hotel-name-generator,Hotel Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,restaurant-name-generator|business-name-generator|event-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
30,hreflang-tag-generator,Hreflang Tag Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,canonical-tag-generator|sitemap-generator|meta-tag-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
31,htaccess-generator,.htaccess Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,robots-txt-generator|sitemap-generator|regex-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
32,html-table-generator,HTML Table Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,html-code-generator|css-code-generator|json-formatter,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
33,icebreaker-generator,Icebreaker Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,random-question-generator|would-you-rather-generator|meeting-agenda-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
34,image-alt-text-generator,Image Alt Text Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,meta-description-generator|instagram-caption-generator|product-bullet-points-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
35,island-name-generator,Island Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,city-name-generator|kingdom-name-generator|fantasy-map-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
36,japanese-name-generator,Japanese Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,korean-name-generator|anime-name-generator|character-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
37,joke-generator,Joke Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,compliment-generator|random-question-generator|meme-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
38,json-formatter,JSON Formatter,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,json-schema-generator|mock-api-generator|graphql-query-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
39,json-schema-generator,JSON Schema Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,json-formatter|typescript-type-generator|mock-api-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
40,keyword-generator,Keyword Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,seo-title-generator|meta-description-generator|hashtag-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
41,kingdom-name-generator,Kingdom Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,city-name-generator|castle-name-generator|fantasy-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
42,korean-name-generator,Korean Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,japanese-name-generator|anime-name-generator|character-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
43,landing-page-copy-generator,Landing Page Copy Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,headline-generator|ad-copy-generator|faq-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
44,leet-text-generator,Leet Speak Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,cool-text-generator|fancy-text-generator|username-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
45,lesson-plan-generator,Lesson Plan Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,worksheet-generator|rubric-generator|quiz-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
46,lowercase-generator,Lowercase Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,text-case-converter|all-caps-generator|sentence-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
47,magic-name-generator,Magic Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,wizard-name-generator|fantasy-name-generator|sigil-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
48,medieval-name-generator,Medieval Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,fantasy-name-generator|viking-name-generator|castle-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
49,meeting-agenda-generator,Meeting Agenda Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,minutes-of-meeting-generator|follow-up-email-generator|productivity-prompt-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
50,meme-text-generator,Meme Text Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added four specific FAQs,joke-generator|viral-hook-generator|instagram-caption-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
