position,slug,name,metadata,intro,below_tool_content,faqs,relatedSlugs,safety,duplicate_slugs_check,broken_relatedSlugs_check,rendered_index_follow,canonical_check,noindexToolSlugs_unchanged,remaining_issues
1,dj-name-generator,DJ Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,disc-jockey-names-generator|performer-names-generator|stage-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
2,app-icon-generator,App Icon Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,favicon-generator|logo-generator|app-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
3,banner-generator,Banner Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,poster-generator|flyer-generator|logo-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
4,barbarian-name-generator,Barbarian Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,warrior-name-generator|viking-name-generator|dnd-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
5,big-text-generator,Big Text Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,ascii-text-generator|bubble-text-generator|cool-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
6,brat-text-generator,Brat Text Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,cute-text-generator|cool-text-generator|fancy-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
7,breadcrumb-generator,Breadcrumb Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,schema-tag-generator|sitemap-generator|meta-tag-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
8,bubble-text-generator,Bubble Text Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,big-text-generator|cute-text-generator|fancy-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
9,castle-name-generator,Castle Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,kingdom-name-generator|tavern-name-generator|dungeon-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
10,club-name-generator,Club Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,event-name-generator|team-name-generator|business-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
11,cocktail-name-generator,Cocktail Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,restaurant-name-generator|diner-name-generator|playlist-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
12,cowboy-name-generator,Cowboy Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,horse-name-generator|character-name-generator|fantasy-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
13,cursive-name-generator,Cursive Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,cursive-text-generator|fancy-text-generator|name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
14,cute-text-generator,Cute Text Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,bubble-text-generator|brat-text-generator|fancy-text-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
15,dinosaur-name-generator,Dinosaur Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,monster-name-generator|dragon-name-generator|character-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
16,display-name-generator,Display Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,username-generator|nickname-generator|gaming-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
17,drag-name-generator,Drag Queen Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,stage-name-generator|performer-names-generator|funny-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
18,estimate-generator,Estimate Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,proposal-generator|quotation-generator|business-card-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
19,favicon-generator,Favicon Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,app-icon-generator|logo-generator|qr-code-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
20,funny-name-generator,Funny Name Generator,updated meta title and description,updated tagline and intro description,added intent-specific how-to and tips,added three specific FAQs,nickname-generator|stage-name-generator|character-name-generator,indexing unchanged; no guarantees added,pass,pass,pass,pass,pass,none from structural validation
